Municipal_Status,town_code,town_hebrew,town_english,town_eshkol_19,town_eshkol17,STAT19,Pop2019,SocioIndex19,SocioRank19,Eshkol19,Eshkol17,Eshkol08,population,index_value,rank,District,SocioRank17,Difference1917
0,31,אופקים,OFAQIM,3,3,6,6123.0347005038,-1.72328502567716,106,1,1,2,6469.5637936491512,-1.6056038483220554,93,NA,NA,NA
0,31,אופקים,OFAQIM,3,3,3,3044.82905334023,-0.964277413319659,254,3,3,2,3027.7191379695173,-0.9003519662723994,242,NA,NA,NA
0,31,אופקים,OFAQIM,3,3,4,3043.84559698877,-0.908773177509216,271,3,3,3,3045.5866743931597,-0.676117249944733,301,NA,NA,NA
0,31,אופקים,OFAQIM,3,3,2,2773.05057714003,-0.541245970631171,375,4,3,3,2776.0102780857778,-0.52872996553147,356,NA,NA,NA
0,31,אופקים,OFAQIM,3,3,1,5246.15151174086,-0.539951119453442,376,4,4,3,4579.9428739678451,-0.5692504785227412,340,NA,NA,NA
0,31,אופקים,OFAQIM,3,3,7,10424.4451218029,-0.0934268584440738,611,5,5,5,5714.87889811884,0.11362650165303011,695,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,11,219.769942774511,-0.926906222063497,265,3,3,3,210.3565687113512,-0.683755365495571,299,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,5,2023.38713982146,-0.84987637957061,287,3,3,3,2054.4969965617288,-0.7247020199764757,285,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,8,1797.19759928334,-0.726185311737473,322,3,3,3,1842.7398647770012,-0.6242032386926313,321,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,7,3260.9355291588,-0.614181749077791,357,4,4,3,3374.0472535960484,-0.4501196443345206,395,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,3,2331.73542078517,-0.322830256042436,471,5,4,5,2450.1353296085454,-0.18698411456150543,508,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,4,3504.67966947649,-0.265298710371988,507,5,4,4,3215.9809523252288,-0.27795299964989256,467,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,2,2399.74567013967,-0.125301320912487,590,5,5,5,2477.2423859551345,-0.09827284378715528,555,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,12,4168.2070936528,-0.0483118923112977,642,5,5,5,4114.5388548302244,0.08137363758043786,678,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,1,5919.86618654468,0.287034501697436,857,6,6,6,5135.9459096593073,0.3307752976755692,845,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,13,461.895034651761,0.334869196538812,900,6,6,6,484.75834353056285,0.3663052827317289,869,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,9,7181.34252053579,0.676992434874209,1069,7,7,7,7300.5863816644878,0.805366091550917,1110,NA,NA,NA
0,2400,אור יהודה,OR YEHUDA,5,5,10,3332.35857781965,0.953723390151473,1206,7,8,8,3402.8760357715232,1.003513735796533,1213,NA,NA,NA
0,1020,אור עקיבא,OR AQIVA,5,5,2,3065.89802953884,-0.802719893465844,305,3,3,3,3340.13487216766,-0.6239000196259225,322,NA,NA,NA
0,1020,אור עקיבא,OR AQIVA,5,5,3,4704.39895517429,-0.377601631546463,439,5,4,4,4608.3672975478357,-0.3680792299005489,423,NA,NA,NA
0,1020,אור עקיבא,OR AQIVA,5,5,5,3913.92586187887,0.25094740522174,835,6,6,6,3156.9091259641,0.25112594885791534,794,NA,NA,NA
0,1020,אור עקיבא,OR AQIVA,5,5,4,2232.12272871554,0.403936084193263,937,6,6,6,2226.5976260474863,0.4964036552599412,948,NA,NA,NA
0,1020,אור עקיבא,OR AQIVA,5,5,1,4881.72937824088,0.40664900577353,938,6,7,6,3748.7432225501607,0.43931394203333046,914,NA,NA,NA
99,565,אזור,AZOR,7,7,2,3901.42184684455,0.407470817336119,940,6,6,6,3773.7371186391247,0.42045207799577433,903,NA,NA,NA
99,565,אזור,AZOR,7,7,3,4721.21544308794,0.48708744198037,978,7,6,7,4225.1610272629487,0.5502431712145933,978,NA,NA,NA
99,565,אזור,AZOR,7,7,1,4189.23452863026,0.87631037729681,1160,7,7,8,4096.1676564314748,0.9682402685650456,1197,NA,NA,NA
0,2600,אילת,ELAT,6,6,21,3970.48516706823,-0.321672668826021,472,5,4,4,4008.665445657306,-0.2412406034945895,486,NA,NA,NA
0,2600,אילת,ELAT,6,6,12,766.179517308808,-0.257476952416712,516,5,4,5,702.25690911610695,-0.027184821198439162,601,NA,NA,NA
0,2600,אילת,ELAT,6,6,22,3052.09824393236,-0.219919425099828,543,5,4,5,2928.9848217198396,-0.13453785046801342,540,NA,NA,NA
0,2600,אילת,ELAT,6,6,14,3746.74184824667,-0.199126551384302,554,5,4,5,3856.5334650969662,-0.1301388389520629,545,NA,NA,NA
0,2600,אילת,ELAT,6,6,15,3785.30925498803,-0.167655142047463,565,5,5,5,3609.697088344747,-0.11106322848572248,550,NA,NA,NA
0,2600,אילת,ELAT,6,6,25,2293.38865360578,-0.156335708254967,578,5,4,5,2303.2242975543181,-0.14177432140150692,537,NA,NA,NA
0,2600,אילת,ELAT,6,6,23,5856.10983433012,0.0124698506199268,680,5,5,5,5935.6015211500971,0.07034119713620399,666,NA,NA,NA
0,2600,אילת,ELAT,6,6,31,3576.12349267012,0.153419296917185,781,6,5,6,3522.0529856476105,0.29224138682481354,816,NA,NA,NA
0,2600,אילת,ELAT,6,6,13,847.717449227803,0.156971114717604,783,6,5,6,490.40768239943787,0.2141535158204357,762,NA,NA,NA
0,2600,אילת,ELAT,6,6,35,2825.14869714808,0.331810641719275,896,6,6,6,2808.0733213649964,0.40858547470698287,898,NA,NA,NA
0,2600,אילת,ELAT,6,6,16,341.334186185459,0.393428024586844,929,6,6,6,340.63486852172832,0.4500708331651814,922,NA,NA,NA
0,2600,אילת,ELAT,6,6,11,245.883373463443,0.443276373921466,957,7,6,6,317.48008366656984,0.3561094800951298,861,NA,NA,NA
0,2600,אילת,ELAT,6,6,33,3548.66005683223,0.548788511192602,1010,7,7,7,3467.5118088912154,0.5879373252902313,1000,NA,NA,NA
0,2600,אילת,ELAT,6,6,36,9974.76627817279,0.63219430598842,1050,7,7,7,7919.2802138096604,0.6343950155001321,1027,NA,NA,NA
0,2600,אילת,ELAT,6,6,32,1589.62040403507,0.719220998155896,1093,7,7,7,1617.9334938164595,0.8797560244887873,1160,NA,NA,NA
0,2600,אילת,ELAT,6,6,24,3726.88732802722,0.760131680841379,1110,7,7,7,3826.9662692666652,0.8059704592225618,1111,NA,NA,NA
0,2600,אילת,ELAT,6,6,34,2138.90750932828,0.769805544589705,1116,7,7,7,2052.1438337585787,0.8137818765689426,1112,NA,NA,NA
0,1309,אלעד,EL'AD,2,2,4,6652.81795745309,-1.67297348861651,115,1,1,1,6201.5456348795833,-1.6391549417505642,87,NA,NA,NA
0,1309,אלעד,EL'AD,2,2,5,6407.49790028989,-1.5769480763585,129,2,2,1,6137.4965949436109,-1.626791332233032,90,NA,NA,NA
0,1309,אלעד,EL'AD,2,2,6,7240.71460181955,-1.426683989736,154,2,2,2,6168.3966153045767,-1.3874215117029616,139,NA,NA,NA
0,1309,אלעד,EL'AD,2,2,1,7875.6322313106,-1.39705770311846,162,2,2,2,6772.7296205350103,-1.3776722816939717,143,NA,NA,NA
0,1309,אלעד,EL'AD,2,2,7,8273.68149920403,-1.3561081873791,171,2,2,2,7686.9341066820334,-1.387500217695575,138,NA,NA,NA
0,1309,אלעד,EL'AD,2,2,3,5376.25958167581,-1.27938596240173,182,2,2,2,5321.7882846852808,-1.347203789812135,150,NA,NA,NA
0,1309,אלעד,EL'AD,2,2,2,6933.77498466071,-1.22552090866735,190,2,2,2,6583.229396936571,-1.2957250459829333,161,NA,NA,NA
0,3570,אריאל,ARI'EL,6,6,5,6309.66933534352,-0.18953294705638,558,5,5,5,5052.3002220776025,-0.011337396210145493,610,NA,NA,NA
0,3570,אריאל,ARI'EL,6,6,1,2112.74766835296,0.382296682088803,923,6,6,6,2284.5021314534106,0.38088074227776164,875,NA,NA,NA
0,3570,אריאל,ARI'EL,6,6,4,4044.50726150714,0.436371700812155,956,7,7,7,4144.1685829703383,0.5676991511980574,986,NA,NA,NA
0,3570,אריאל,ARI'EL,6,6,2,2715.99153047076,0.474866577601807,973,7,7,7,2737.3656983045612,0.6118006973267528,1016,NA,NA,NA
0,3570,אריאל,ARI'EL,6,6,3,5353.0523728388,0.610401506642333,1039,7,7,7,4498.7363445372412,0.6752235745715572,1045,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,141,5928.64544341101,-1.94215446004693,63,1,1,1,5828.92079419935,-1.9877869803217367,38,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,213,4653.63986394621,-1.79566005861946,92,1,1,1,4576.5776728748633,-1.8617981767437712,52,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,211,7576.67028780559,-1.76892445961975,98,1,1,1,7560.5439351217474,-1.8348440743753447,56,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,144,7154.67740807515,-1.6941203978375,112,1,2,2,6780.0475118535251,-1.4511459264655457,123,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,212,7355.87290301473,-1.69053324724438,114,1,1,1,7606.8670369673755,-1.8697304416725982,51,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,142,3365.44298479696,-1.51797694761761,139,2,2,2,3231.5419063951731,-1.3404438216349377,153,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,322,4454.71691495702,-1.45648423600184,151,2,2,2,4493.7251031101268,-1.4102792170263594,133,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,143,4717.65377698689,-1.41673487799297,156,2,2,2,4691.2075859181923,-1.2676834026380646,167,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,221,3355.91594084549,-1.33258438174828,174,2,2,2,2941.9696975002189,-0.9588343621292685,222,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,223,3885.73070536941,-1.12223350634666,214,2,3,2,3528.7767057620226,-0.9146585568305005,237,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,222,4002.16494204371,-1.10057563653859,217,2,3,2,3846.3726164778618,-0.9239859165840735,233,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,132,1773.31893433286,-0.997234525941357,247,3,3,2,1859.2055059241377,-0.8950339515097989,246,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,133,3993.68536105577,-0.919179021571668,268,3,3,2,4142.7063533171386,-0.8681280522761019,253,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,125,2271.83023417215,-0.803108644713714,303,3,3,3,2272.3801377052951,-0.6894279133876369,297,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,126,3860.28641755899,-0.802762022697456,304,3,3,3,3925.9761706274508,-0.7464819593036185,278,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,131,2088.88846746149,-0.67479160927121,338,3,4,3,2169.8295951078976,-0.5955536303080466,333,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,122,2810.67989621217,-0.576291448313101,367,4,3,3,2756.9662863432836,-0.6745545945551557,303,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,234,3872.67140274764,-0.509963069932067,384,4,4,3,3940.8048350308677,-0.47017128956320037,383,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,323,5317.17477881265,-0.476089565152922,395,4,4,3,4635.0118471483493,-0.5005760346386772,369,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,242,2577.66805386082,-0.452777730395359,409,4,4,4,2664.4484623701142,-0.3903428005595175,411,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,123,3993.80551816849,-0.411964769144765,429,4,4,3,4067.055223438399,-0.4721876783667567,382,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,321,4688.62728066378,-0.22476988517365,539,5,5,5,4297.4473943437906,0.03059997980542765,639,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,241,5748.09550416585,-0.0570324663066131,635,5,5,5,5632.6405827700519,-0.044777902199523247,583,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,332,1813.6196852829,0.0257332186586366,688,5,5,6,1858.475564473928,0.3202399512948074,833,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,232,3191.51937748406,0.0275662286438129,692,5,5,5,2862.0310141649256,0.0543465053733463,653,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,333,5009.03825761289,0.0450251981869475,703,5,5,5,5177.0871244818327,0.10367856212943778,691,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,231,3301.68185587497,0.0799466932925324,728,5,5,5,3560.7138011131638,0.014737891773959568,631,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,331,2759.63291301046,0.153551922955837,782,6,6,6,2873.5522478732855,0.27007566231456137,803,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,343,3180.43978804101,0.205710697654793,804,6,6,6,3126.4310922173045,0.43157379012498165,909,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,243,3177.92459683473,0.23820725551791,826,6,6,6,2980.5646045862832,0.3328624978867081,847,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,233,3789.0647835438,0.240804173885829,828,6,6,6,3941.9207949061561,0.2831584620688142,810,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,342,4203.08548016675,0.301288058310671,868,6,6,6,4385.3054162925464,0.4207080864575881,904,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,411,4277.12485686728,0.322116826874328,889,6,6,6,4387.447970205787,0.36418058963499783,868,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,423,4608.02622002872,0.339205428103055,902,6,6,6,4726.3138158435695,0.42186576956352795,906,NA,NA,NA
0,70,אשדוד,ASHDOD,5,4,424,2567.03315586604,0.342993753014607,904,6,6,6,2595.2022160956071,0.38984630774267626,881,NA,NA,NA
